word,current_avatar,upstream_sigml_filename_match
WALKING,fingerspelling,no
WARM,fingerspelling,no
WATER,fingerspelling,yes_unreviewed
WE,fingerspelling,yes_unreviewed
WED,fingerspelling,no
WELCOME,fingerspelling,yes_unreviewed
WHAT,fingerspelling,yes_unreviewed
WHATSAPP,fingerspelling,no
WHEN,fingerspelling,yes_unreviewed
WHICH,fingerspelling,yes_unreviewed
WHILE,fingerspelling,no
WHO,fingerspelling,yes_unreviewed
WILL,fingerspelling,yes_unreviewed
WITH,fingerspelling,yes_unreviewed
WORDS,fingerspelling,no
WORKSPACE,fingerspelling,no
WOULD,fingerspelling,no
WRITE,fingerspelling,yes_unreviewed
YEAR,fingerspelling,no
YEARS,fingerspelling,no
YET,fingerspelling,no
YOU,word_animation,yes_unreviewed
YOUR,fingerspelling,yes_unreviewed
